2016-06-08 13:12:18 startup archives unpack
2016-06-08 13:12:18 install libopts25:amd64 <ninguna> 1:5.18.4-3
2016-06-08 13:12:18 status half-installed libopts25:amd64 1:5.18.4-3
2016-06-08 13:12:18 status unpacked libopts25:amd64 1:5.18.4-3
2016-06-08 13:12:18 status unpacked libopts25:amd64 1:5.18.4-3
2016-06-08 13:12:18 install ntp:amd64 <ninguna> 1:4.2.6.p5+dfsg-7+deb8u1
2016-06-08 13:12:18 status half-installed ntp:amd64 1:4.2.6.p5+dfsg-7+deb8u1
2016-06-08 13:12:19 status triggers-pending man-db:amd64 2.7.0.2-5
2016-06-08 13:12:19 status triggers-pending systemd:amd64 215-17+deb8u4
2016-06-08 13:12:19 status unpacked ntp:amd64 1:4.2.6.p5+dfsg-7+deb8u1
2016-06-08 13:12:19 status unpacked ntp:amd64 1:4.2.6.p5+dfsg-7+deb8u1
2016-06-08 13:12:19 trigproc man-db:amd64 2.7.0.2-5 <ninguna>
2016-06-08 13:12:19 status half-configured man-db:amd64 2.7.0.2-5
2016-06-08 13:12:19 status installed man-db:amd64 2.7.0.2-5
2016-06-08 13:12:19 trigproc systemd:amd64 215-17+deb8u4 <ninguna>
2016-06-08 13:12:19 status half-configured systemd:amd64 215-17+deb8u4
2016-06-08 13:12:19 status installed systemd:amd64 215-17+deb8u4
2016-06-08 13:12:19 startup packages configure
2016-06-08 13:12:19 configure libopts25:amd64 1:5.18.4-3 <ninguna>
2016-06-08 13:12:19 status unpacked libopts25:amd64 1:5.18.4-3
2016-06-08 13:12:19 status half-configured libopts25:amd64 1:5.18.4-3
2016-06-08 13:12:19 status installed libopts25:amd64 1:5.18.4-3
2016-06-08 13:12:19 status triggers-pending libc-bin:amd64 2.19-18+deb8u4
2016-06-08 13:12:19 configure ntp:amd64 1:4.2.6.p5+dfsg-7+deb8u1 <ninguna>
2016-06-08 13:12:19 status unpacked ntp:amd64 1:4.2.6.p5+dfsg-7+deb8u1
2016-06-08 13:12:19 status unpacked ntp:amd64 1:4.2.6.p5+dfsg-7+deb8u1
2016-06-08 13:12:19 status unpacked ntp:amd64 1:4.2.6.p5+dfsg-7+deb8u1
2016-06-08 13:12:19 status unpacked ntp:amd64 1:4.2.6.p5+dfsg-7+deb8u1
2016-06-08 13:12:19 status triggers-pending systemd:amd64 215-17+deb8u4
2016-06-08 13:12:20 status unpacked ntp:amd64 1:4.2.6.p5+dfsg-7+deb8u1
2016-06-08 13:12:20 status unpacked ntp:amd64 1:4.2.6.p5+dfsg-7+deb8u1
2016-06-08 13:12:20 status half-configured ntp:amd64 1:4.2.6.p5+dfsg-7+deb8u1
2016-06-08 13:12:20 status installed ntp:amd64 1:4.2.6.p5+dfsg-7+deb8u1
